City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Avarua,CK,78.85,overcast clouds,-21.2078,-159.775,Paradise Inn
9,Airai,TL,65.25,light rain,-8.9266,125.4092,Juvinal Martin
10,Mananara,MG,69.33,light rain,-16.1667,49.7667,Chez Roger
12,Tam Ky,VN,80.58,broken clouds,15.5667,108.4833,Khách Sạn Đông Á
13,Sao Filipe,CV,72.61,clear sky,14.8961,-24.4956,Hotel Xaguate
14,Isangel,VU,76.77,broken clouds,-19.55,169.2667,Tanna Lodge
15,Liuhe,CN,70.54,few clouds,42.2401,125.7172,Grain Hostel
19,Sumbe,AO,76.62,scattered clouds,-11.2061,13.8437,Hotel Ritz Sumbe
20,Rikitea,PF,76.32,scattered clouds,-23.1203,-134.9692,Pension Maro'i
21,Saint Anthony,US,81.3,few clouds,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
22,Rodrigues Alves,BR,75.92,broken clouds,-7.738,-72.6509,Pousada Aconchego
25,Port Macquarie,AU,65.89,broken clouds,-31.4333,152.9167,Rydges Port Macquarie
29,Jamestown,US,83.52,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
31,Albany,US,86.65,overcast clouds,42.6001,-73.9662,
32,Bengkulu,ID,75.92,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
34,Arzgir,RU,66.25,overcast clouds,45.3728,44.2206,
35,Kapaa,US,82.38,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
37,Hithadhoo,MV,83.37,overcast clouds,-0.6,73.0833,Scoop Guest House
38,Fasa,IR,70.84,clear sky,28.9383,53.6482,Fasa University Boys' Dormitory
39,Hilo,US,73.13,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
41,Saint-Philippe,RE,71.15,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
43,San Andres,CO,84.22,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
44,Fortuna,US,65.43,few clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
46,Victoria,HK,87.85,scattered clouds,22.2855,114.1577,Mini Hotel Central
