,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ushuaia,AR,-54.8,-68.3,38.86,93,75,1.14,broken clouds
1,Albany,US,42.6001,-73.9662,85.64,41,100,3.0,overcast clouds
2,Zyryanovsk,KZ,49.7386,84.2719,45.39,74,15,2.21,few clouds
3,Bandarbeyla,SO,9.4942,50.8122,80.19,82,55,26.15,broken clouds
4,Cascais,PT,38.6979,-9.4215,64.62,54,20,5.99,few clouds
5,Lichuan,CN,30.3,108.85,57.85,99,100,1.9,overcast clouds
6,Longford,IE,53.7333,-7.8,46.15,85,100,6.33,overcast clouds
7,Sao Filipe,CV,14.8961,-24.4956,73.78,77,1,9.04,clear sky
8,Chuy,UY,-33.6971,-53.4616,58.05,78,93,17.09,overcast clouds
9,Butaritari,KI,3.0707,172.7902,83.05,81,95,18.92,moderate rain
10,Lisakovsk,KZ,52.5369,62.4936,72.82,34,100,9.24,overcast clouds
11,Doha,QA,25.2867,51.5333,97.11,45,0,4.61,clear sky
12,Castro,BR,-24.7911,-50.0119,68.4,81,6,9.48,clear sky
13,Atuona,PF,-9.8,-139.0333,80.42,67,47,15.39,scattered clouds
14,Mataura,NZ,-46.1927,168.8643,37.42,96,0,1.95,clear sky
15,Kodiak,US,57.79,-152.4072,45.91,81,1,5.75,clear sky
16,Puerto Ayora,EC,-0.7393,-90.3518,84.16,79,99,8.99,overcast clouds
17,Punta Arenas,CL,-53.15,-70.9167,46.51,81,40,2.95,scattered clouds
18,Georgetown,MY,5.4112,100.3354,82.33,85,20,3.44,few clouds
19,Rikitea,PF,-23.1203,-134.9692,76.55,67,15,12.57,few clouds
20,Dikson,RU,73.5069,80.5464,32.86,98,100,15.5,overcast clouds
21,Hasaki,JP,35.7333,140.8333,61.29,84,100,14.79,overcast clouds
22,Marzuq,YE,14.4,46.4667,81.09,44,72,7.0,broken clouds
23,Hithadhoo,MV,-0.6,73.0833,84.06,72,72,10.09,broken clouds
24,Tsiroanomandidy,MG,-18.7667,46.0333,59.31,67,0,1.74,clear sky
25,Port Augusta,AU,-32.5,137.7667,51.71,46,98,5.12,overcast clouds
26,Bambous Virieux,MU,-20.3428,57.7575,71.85,58,75,15.99,broken clouds
27,Isangel,VU,-19.55,169.2667,71.13,80,12,9.46,few clouds
28,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,58.93,75,54,18.01,broken clouds
29,Kapaa,US,22.0752,-159.319,78.78,68,40,1.99,scattered clouds
30,Lompoc,US,34.6391,-120.4579,68.56,66,75,13.8,broken clouds
31,East London,ZA,-33.0153,27.9116,52.74,66,0,5.75,clear sky
32,Palmer,US,42.1584,-72.3287,89.53,36,90,4.0,overcast clouds
33,Bluff,NZ,-46.6,168.3333,45.01,88,7,10.87,clear sky
34,Tura,IN,25.5198,90.2201,76.82,83,37,3.58,scattered clouds
35,Virginia Beach,US,36.8529,-75.978,88.18,29,90,10.36,overcast clouds
36,Pevek,RU,69.7008,170.3133,30.4,90,100,6.69,overcast clouds
37,Jamestown,US,42.097,-79.2353,80.1,56,75,11.5,broken clouds
38,Olinda,BR,-8.0089,-34.8553,82.13,68,20,9.89,few clouds
